history_id,reservation_id,status,last_updated
1,1,Cancelled,2024-05-30 04:52 AM
2,2,No-show,2024-04-09 09:22 PM
3,3,Cancelled,2024-03-18 06:53 AM
4,4,Completed,2024-06-27 07:19 AM
5,5,Completed,2024-07-02 11:25 PM
6,6,Cancelled,2024-07-15 06:12 PM
7,7,Cancelled,2024-07-05 02:13 PM
8,8,No-show,2024-02-29 02:16 PM
9,9,No-show,2024-03-21 08:49 AM
10,10,No-show,2024-07-21 04:27 AM
11,11,No-show,2024-04-11 03:48 AM
12,12,Cancelled,2024-03-12 06:58 AM
13,13,No-show,2024-06-21 04:16 AM
14,14,Completed,2024-06-12 11:18 AM
15,15,Completed,2024-09-24 05:43 AM
16,16,Cancelled,2024-06-15 08:01 AM
17,17,No-show,2024-01-06 07:57 AM
18,18,Cancelled,2024-07-25 02:14 PM
19,19,No-show,2024-06-20 06:12 PM
20,20,Completed,2024-01-07 02:35 AM
21,21,Cancelled,2024-03-20 12:38 PM
22,22,No-show,2024-07-20 03:07 AM
23,23,No-show,2024-06-26 12:49 PM
24,24,No-show,2024-02-06 09:15 PM
25,25,Cancelled,2024-08-07 12:21 PM
26,26,No-show,2024-01-15 07:43 AM
27,27,Cancelled,2024-02-16 02:28 PM
28,28,Completed,2024-06-15 02:06 PM
29,29,No-show,2024-05-16 10:45 PM
30,30,No-show,2024-06-23 09:24 AM
31,31,Cancelled,2024-08-19 12:20 AM
32,32,Completed,2024-02-27 07:06 PM
33,33,Cancelled,2024-03-09 08:53 PM
34,34,No-show,2024-09-06 02:12 AM
35,35,Completed,2024-08-28 11:56 PM
36,36,No-show,2024-03-05 08:04 AM
37,37,Cancelled,2024-02-28 04:09 AM
38,38,No-show,2024-03-22 12:13 AM
39,39,Cancelled,2024-01-15 07:47 AM
40,40,Cancelled,2024-07-14 04:44 PM
41,41,Cancelled,2024-09-02 05:33 PM
42,42,Cancelled,2024-04-21 12:07 AM
43,43,Cancelled,2024-07-12 08:29 AM
44,44,Cancelled,2024-04-09 12:32 PM
45,45,No-show,2024-08-30 10:49 AM
46,46,Completed,2024-03-31 07:01 PM
47,47,No-show,2024-05-08 07:31 AM
48,48,Completed,2024-07-08 03:40 PM
49,49,Cancelled,2024-06-20 12:09 AM
50,50,No-show,2024-02-13 08:34 AM
51,51,Completed,2024-06-26 05:47 PM
52,52,Completed,2024-08-25 06:52 PM
53,53,Completed,2024-04-16 12:05 AM
54,54,No-show,2024-03-14 06:40 PM
55,55,Cancelled,2024-08-06 10:44 AM
56,56,Cancelled,2024-04-11 07:54 PM
57,57,Cancelled,2024-06-24 06:28 PM
58,58,Completed,2024-06-30 09:21 AM
59,59,Completed,2024-09-05 05:32 PM
60,60,Cancelled,2024-06-23 11:42 AM
61,61,Completed,2024-02-22 04:10 PM
62,62,Cancelled,2024-06-19 03:09 AM
63,63,Cancelled,2024-09-17 01:02 PM
64,64,No-show,2024-01-14 03:12 PM
65,65,Completed,2024-07-21 08:36 PM
66,66,Completed,2024-08-15 11:46 PM
67,67,Cancelled,2024-08-27 06:37 PM
68,68,Cancelled,2024-08-20 11:22 AM
69,69,Cancelled,2024-06-09 10:38 AM
70,70,Cancelled,2024-07-11 12:10 PM
71,71,No-show,2024-07-25 12:59 PM
72,72,Completed,2024-08-12 07:57 AM
73,73,Completed,2024-05-18 01:56 PM
74,74,No-show,2024-09-10 11:04 PM
75,75,Cancelled,2024-04-08 06:23 PM
76,76,No-show,2024-06-20 05:03 AM
77,77,Completed,2024-03-16 08:58 PM
78,78,Cancelled,2024-01-28 07:04 PM
79,79,Completed,2024-02-03 08:12 PM
80,80,Cancelled,2024-03-18 04:56 PM
81,81,Completed,2024-03-09 03:18 PM
82,82,No-show,2024-05-31 04:10 AM
83,83,Cancelled,2024-08-27 12:02 PM
84,84,No-show,2024-01-13 07:02 AM
85,85,No-show,2024-01-12 12:31 PM
86,86,Completed,2024-03-30 02:28 PM
87,87,Completed,2024-03-17 05:05 PM
88,88,No-show,2024-04-14 08:45 AM
89,89,No-show,2024-01-13 07:19 AM
90,90,Cancelled,2024-08-10 09:27 PM
91,91,Cancelled,2024-03-26 08:06 AM
92,92,No-show,2024-06-24 07:18 AM
93,93,Cancelled,2024-07-10 08:33 AM
94,94,No-show,2024-09-10 08:31 PM
95,95,No-show,2024-09-24 09:07 AM
96,96,Completed,2024-09-05 07:34 PM
