hotel_id,hotel_name,hotel_address,city,country,rating,total_rooms
1,"Macdonald, Camacho and Contreras Hotel","Unit 6061 Box 8867
DPO AA 34294",Coxchester,Somalia,3.75,377
2,Knight-Craig Hotel,"Unit 4602 Box 0532
DPO AA 89432",Floresfort,Venezuela,3.83,372
3,"Wilson, Fisher and Valentine Hotel","715 Victor Valleys
New Elizabethport, NV 75205",North Gregory,Mayotte,4.59,289
4,Adkins-Hutchinson Hotel,"PSC 1824, Box 2311
APO AA 38626",Alexborough,Botswana,4.51,298
5,"Byrd, Maxwell and Henson Hotel","3203 Vanessa Mountains Suite 710
West Sarah, MN 66649",West Brittney,Bermuda,3.06,64
6,Stewart-Castro Hotel,"14780 Lee Street Suite 506
South Stephaniemouth, ME 72951",Murilloview,Martinique,4.74,132
7,Silva Ltd Hotel,"28605 Conrad Wells Suite 354
Millerborough, WI 46155",West Elizabethberg,Belarus,3.18,483
8,"Willis, Walker and King Hotel","619 Shawn Turnpike
East Kennethfort, DE 16916",North Charles,Comoros,3.8,267
9,Conner PLC Hotel,"08994 David Trafficway
North David, FL 62475",New Christopher,Mauritania,3.91,353
10,"Murphy, Meyers and Choi Hotel","96828 Gregory Lane Suite 896
Aprilfort, MP 54373",West Theresaburgh,Moldova,3.25,489
11,Marshall LLC Hotel,"42190 Washington Mill Suite 174
South Kennethton, IL 63755",East Crystalborough,Cyprus,3.23,395
12,"Martinez, Davis and Brown Hotel","299 Flores Turnpike
East Catherine, NV 32347",Antoniotown,Guadeloupe,4.99,201
13,"Pham, Mckinney and Hubbard Hotel","0046 Sandra Curve
Gordonmouth, NH 32645",Davidshire,Iraq,3.86,456
14,Boyd-Lopez Hotel,"5446 Macias Hollow
Joshuachester, NJ 24561",South Joann,Congo,3.56,450
15,Higgins Inc Hotel,"92067 Johnathan Plaza
West Elizabeth, IN 65610",Carpenterport,Mongolia,3.38,264
16,Petersen-Adams Hotel,"8435 Kimberly Isle
North Leah, RI 44435",Lake Samanthashire,Namibia,4.21,330
17,"Miller, Campbell and Walker Hotel","995 Marilyn Falls Suite 672
Schultzburgh, AZ 39070",Carolyntown,Nauru,3.52,118
18,Mooney-Maxwell Hotel,"188 Friedman Crescent
Nixonville, FL 40024",East Kristinland,Oman,3.6,155
19,Smith and Sons Hotel,"53798 Robert Glens Suite 622
Karenfurt, ND 92745",Andrewborough,Costa Rica,4.42,234
20,"Sullivan, Jones and Hansen Hotel","1264 Shelly Lakes Apt. 935
New Frankmouth, AS 48312",Port Jennamouth,Bangladesh,4.43,405
21,Brennan Ltd Hotel,"26853 Richard Way Suite 941
Jessicamouth, IA 68236",Angelfurt,Tunisia,4.14,73
22,Pineda Inc Hotel,"7477 Hess Pine
Garrettberg, NE 94898",South Stephanie,Faroe Islands,3.86,114
23,Brown Inc Hotel,"388 Christina Drive Apt. 389
North Jonathanberg, AK 28283",Castroview,Dominica,3.63,235
24,Hammond Group Hotel,"137 Green Circles
Lake Rubenmouth, VT 40711",Dianaside,Eritrea,3.57,216
25,"Flores, Clay and Olsen Hotel","Unit 2889 Box 1541
DPO AA 73945",Hamptonmouth,Israel,4.32,454
26,Velez PLC Hotel,"74405 Sloan Ford Apt. 719
Lake Robert, MO 78331",Kaylaton,Spain,3.41,283
27,Robinson and Sons Hotel,"463 Michael Valley Apt. 659
Rachelstad, AS 73949",Stefanieside,Tajikistan,3.58,158
28,Tucker PLC Hotel,"1049 Dominique Land
North Maria, NJ 13035",Bensonfurt,Niue,3.75,256
29,Knight LLC Hotel,"91663 Mccoy Fields Suite 631
Johnsontown, KY 89158",Port Christine,Kenya,4.99,125
30,Kelley Inc Hotel,"6149 Christopher Stream
Jillianside, WY 56381",Port Pamelaburgh,Norfolk Island,4.5,398
31,"Nicholson, Allen and Wilson Hotel","242 Mark Island
Richardtown, NM 98371",Scottshire,Algeria,4.3,291
32,Brooks and Sons Hotel,"03041 Mcgee Glen Suite 704
Jamesview, ND 32332",Caseyland,Philippines,3.83,137
33,Warner-Ramos Hotel,"11595 Francisco Springs Apt. 971
West Sarah, NM 86264",East Anthony,Christmas Island,4.89,193
34,"James, Santos and Mcdaniel Hotel","1018 Wright Lock Suite 788
Rileyfort, WI 09305",Mitchellberg,Norway,3.48,370
35,Lopez LLC Hotel,"702 John Turnpike Apt. 022
North William, SC 44333",Port Melindaberg,Bouvet Island (Bouvetoya),4.21,373
36,"Brown, Lester and Calhoun Hotel","289 Scott Orchard Apt. 455
Port Aliciashire, MT 40789",Masonland,Palau,3.37,289
37,"Ortiz, Holt and Montgomery Hotel","PSC 9343, Box 2818
APO AE 24654",Carlsonmouth,Palestinian Territory,4.04,275
