reservation_id,customer_id,hotel_id,room_id,check_in,check_out,total_price,booking_date
1,404,70,11409,2024-08-30,2024-09-23,7078.24,2024-06-08
2,393,92,14740,2024-05-26,2024-06-22,8691.68,2024-03-09
3,73,69,11192,2024-08-06,2024-08-27,7255.22,2024-01-10
4,887,87,14201,2024-04-07,2024-07-08,25422.67,2024-02-28
5,634,74,12077,2024-05-01,2024-05-30,13127.8,2024-02-07
6,968,27,4032,2024-04-18,2024-08-09,34994.11,2024-01-27
7,896,56,8948,2024-03-13,2024-07-08,53964.42,2024-07-24
8,951,26,3924,2024-08-07,2024-09-08,3519.07,2024-05-03
9,676,92,14761,2024-01-17,2024-08-24,109241.22,2024-01-27
10,241,68,11038,2024-02-09,2024-07-15,68841.45,2024-04-24
11,120,46,6967,2024-05-27,2024-07-23,12158.16,2024-07-13
12,339,76,12403,2024-04-04,2024-08-12,16964.38,2024-06-29
13,484,25,3727,2024-01-02,2024-06-02,22563.31,2024-09-17
14,429,20,3083,2024-05-28,2024-06-06,1696.25,2024-03-17
15,327,64,10450,2024-07-13,2024-09-07,25689.35,2024-08-06
16,100,83,13770,2024-08-03,2024-09-09,1879.24,2024-09-18
17,353,90,14401,2024-08-04,2024-09-30,27445.57,2024-08-11
18,940,64,10355,2024-06-02,2024-06-23,4073.65,2024-06-18
19,385,53,7913,2024-03-20,2024-07-30,55145.84,2024-05-09
20,183,39,6003,2024-01-02,2024-09-08,37900.75,2024-01-02
21,153,6,923,2024-04-27,2024-07-13,11349.95,2024-03-28
22,453,1,221,2024-05-04,2024-07-17,6483.95,2024-08-23
23,981,15,2609,2024-04-08,2024-09-02,63304.08,2024-01-16
24,176,65,10509,2024-02-14,2024-04-08,5060.19,2024-07-10
25,440,98,15874,2024-03-16,2024-09-20,68656.39,2024-05-05
26,8,61,9926,2024-09-21,2024-09-25,302.09,2024-09-11
27,225,88,14273,2024-03-29,2024-04-04,2221.36,2024-09-03
28,17,49,7547,2024-07-22,2024-08-20,14021.22,2024-03-18
29,7,46,7070,2024-04-22,2024-07-03,9354.77,2024-07-21
30,757,54,8443,2024-03-05,2024-08-03,74509.94,2024-04-22
31,321,14,2270,2024-06-16,2024-10-03,36449.95,2024-01-12
32,999,76,12526,2024-06-26,2024-09-18,16409.68,2024-07-09
33,139,4,833,2024-02-04,2024-05-19,34381.81,2024-03-13
34,151,58,9400,2024-07-06,2024-09-20,15190.5,2024-04-14
35,184,82,13651,2024-08-26,2024-09-02,1316.46,2024-04-26
36,245,92,14675,2024-03-16,2024-09-06,9674.98,2024-05-02
37,418,34,5244,2024-05-20,2024-06-28,18474.67,2024-04-25
38,866,72,11721,2024-04-06,2024-07-17,32514.91,2024-03-21
39,852,79,13163,2024-04-18,2024-07-30,6832.09,2024-04-16
40,880,40,6266,2024-03-09,2024-04-26,3066.46,2024-08-14
41,374,53,7923,2024-06-15,2024-07-03,4322.1,2024-06-18
42,672,72,11822,2024-06-25,2024-08-02,5505.15,2024-09-02
43,728,35,5550,2024-02-20,2024-08-23,51062.89,2024-04-28
44,618,72,11589,2024-08-30,2024-09-15,7961.77,2024-04-17
45,608,60,9809,2024-06-15,2024-07-12,10351.89,2024-01-07
46,3,31,4954,2024-05-08,2024-06-02,11858.59,2024-01-12
47,914,58,9562,2024-01-23,2024-04-21,27711.63,2024-01-15
48,407,48,7341,2024-08-03,2024-09-21,18389.48,2024-08-12
49,500,37,5775,2024-01-28,2024-05-11,17934.04,2024-05-10
50,536,30,4373,2024-03-19,2024-06-19,19289.98,2024-05-29
51,829,13,2148,2024-09-21,2024-10-03,3434.32,2024-06-09
52,124,79,13244,2024-09-07,2024-09-11,905.31,2024-01-19
53,980,78,13043,2024-02-08,2024-03-31,25384.05,2024-08-30
54,520,30,4387,2024-07-13,2024-09-24,31768.23,2024-02-09
55,659,48,7374,2024-02-29,2024-05-28,41901.27,2024-02-28
56,841,64,10499,2024-04-11,2024-04-13,566.28,2024-02-13
57,949,12,1922,2024-01-06,2024-01-07,396.41,2024-02-29
58,598,94,15217,2024-06-22,2024-08-18,20286.35,2024-08-29
59,85,33,5034,2024-06-03,2024-08-21,6439.21,2024-01-20
60,585,83,13833,2024-08-21,2024-08-28,3343.47,2024-04-01
61,215,30,4547,2024-09-03,2024-09-21,5080.64,2024-06-23
62,380,16,2737,2024-04-23,2024-06-04,14084.97,2024-04-14
63,155,55,8592,2024-06-16,2024-07-10,2964.81,2024-07-20
64,842,74,12122,2024-01-23,2024-07-09,16985.18,2024-03-17
65,319,82,13629,2024-07-29,2024-08-02,1822.51,2024-02-05
66,42,24,3668,2024-04-02,2024-09-06,13686,2024-05-29
67,655,11,1551,2024-03-06,2024-05-26,17502.07,2024-01-17
68,460,40,6210,2024-05-23,2024-07-15,13734.63,2024-02-14
69,672,13,2055,2024-07-06,2024-07-24,1243.39,2024-05-20
70,211,31,4860,2024-01-03,2024-07-10,88996.55,2024-03-05
71,480,13,2073,2024-06-20,2024-06-26,1083.03,2024-05-21
72,333,53,8159,2024-02-02,2024-02-13,4055.12,2024-06-17
73,253,2,579,2024-01-30,2024-09-30,90893.45,2024-01-18
74,198,88,14225,2024-03-21,2024-05-16,16804.8,2024-06-16
75,646,35,5303,2024-06-20,2024-08-10,20573.98,2024-07-06
76,414,56,9210,2024-09-19,2024-09-29,1526.1,2024-08-30
77,510,30,4481,2024-04-13,2024-08-29,55266.26,2024-07-01
78,774,48,7436,2024-01-22,2024-09-08,89145.53,2024-07-12
79,607,11,1575,2024-04-04,2024-04-07,210.04,2024-06-08
80,993,31,4735,2024-04-04,2024-07-06,43324.05,2024-03-07
81,885,63,10131,2024-02-13,2024-02-23,874.66,2024-08-21
82,793,95,15255,2024-08-21,2024-09-30,17661.37,2024-04-15
