room_id,hotel_id,room_type,availability,price_per_night
1,1,Suite,No,245.69
2,1,Suite,Yes,83.76
3,1,Single,Yes,335.16
4,1,Single,Yes,247.78
5,1,Single,No,250.90
6,1,Double,No,345.72
7,1,Single,No,52.37
8,1,Single,No,278.94
9,1,Suite,Yes,473.64
10,1,Single,Yes,184.33
11,1,Double,No,82.66
12,1,Suite,Yes,122.84
13,1,Single,No,367.14
14,1,Single,Yes,429.30
15,1,Single,Yes,363.40
16,1,Double,Yes,341.74
17,1,Single,Yes,100.48
18,1,Suite,No,384.21
19,1,Double,No,223.10
20,1,Single,No,448.10
21,1,Double,No,120.14
22,1,Single,No,317.49
23,1,Double,Yes,176.71
24,1,Double,Yes,66.79
25,1,Double,No,339.53
26,1,Suite,No,215.85
27,1,Single,Yes,63.94
28,1,Suite,No,421.45
29,1,Double,No,315.98
30,1,Single,No,63.66
31,1,Single,Yes,167.04
32,1,Single,No,293.33
33,1,Single,Yes,312.91
34,1,Single,Yes,378.45
35,1,Suite,No,293.99
36,1,Double,Yes,484.34
37,1,Double,Yes,334.85
38,1,Suite,No,306.60
39,1,Suite,No,92.43
40,1,Double,Yes,475.70
41,1,Suite,Yes,82.92
42,1,Suite,Yes,251.75
43,1,Double,No,145.56
44,1,Single,No,243.59
45,1,Single,No,190.17
46,1,Suite,No,217.36
47,1,Double,No,488.29
48,1,Double,No,190.49
49,1,Double,Yes,473.51
50,1,Suite,No,89.55
51,1,Single,No,397.25
52,1,Single,Yes,281.19
53,1,Double,Yes,73.02
54,1,Single,Yes,278.81
55,1,Double,Yes,139.49
56,1,Double,Yes,233.94
57,1,Single,No,95.19
58,1,Double,Yes,263.64
59,1,Single,Yes,469.70
60,1,Single,No,265.97
61,1,Suite,Yes,140.21
62,1,Double,No,305.21
63,1,Double,Yes,204.98
64,1,Suite,Yes,488.06
65,1,Double,No,110.33
66,1,Double,Yes,133.54
67,1,Double,Yes,167.27
68,1,Double,No,241.91
69,1,Single,No,313.85
70,1,Suite,No,487.74
71,1,Double,Yes,58.69
72,1,Double,No,85.44
73,1,Double,No,327.57
74,1,Double,Yes,232.52
75,1,Double,Yes,368.95
76,1,Double,No,253.94
77,1,Double,No,182.55
78,1,Suite,No,95.19
79,1,Double,Yes,441.73
80,1,Single,No,220.77
81,1,Suite,No,360.52
82,1,Single,Yes,373.78
83,1,Suite,No,180.06
84,1,Double,No,467.66
85,1,Suite,Yes,341.22
86,1,Single,Yes,299.46
87,1,Suite,No,495.68
88,1,Suite,No,134.79
89,1,Single,No,199.37
90,1,Suite,Yes,223.09
91,1,Single,No,141.98
92,1,Double,Yes,331.08
93,1,Suite,Yes,405.94
94,1,Single,No,79.88
95,1,Suite,Yes,257.61
96,1,Double,No,78.81
97,1,Suite,Yes,230.38
98,1,Suite,Yes,450.24
99,1,Suite,Yes,379.92
100,1,Suite,Yes,309.22
101,1,Single,Yes,82.94
102,1,Double,Yes,136.28
103,1,Double,No,192.88
104,1,Single,No,457.61
105,1,Single,No,168.15
106,1,Double,Yes,397.91
107,1,Suite,Yes,81.56
108,1,Double,Yes,249.93
109,1,Double,Yes,476.84
110,1,Suite,Yes,86.38
111,1,Suite,No,100.80
112,1,Double,Yes,154.91
113,1,Suite,No,356.32
114,1,Double,No,168.17
115,1,Double,No,406.23
116,1,Double,Yes,189.12
117,1,Single,Yes,190.97
118,1,Suite,Yes,200.09
119,1,Double,No,247.40
120,1,Double,No,308.18
121,1,Single,Yes,176.25
122,1,Double,Yes,76.33
123,1,Double,Yes,479.76
124,1,Single,No,396.87
125,1,Single,Yes,138.01
126,1,Double,No,375.92
127,1,Suite,No,240.81
128,1,Suite,Yes,449.20
129,1,Single,No,77.81
130,1,Suite,Yes,193.36
131,1,Single,Yes,126.14
132,1,Single,No,304.78
133,1,Suite,Yes,428.39
134,1,Suite,No,365.79
135,1,Suite,No,141.20
136,1,Single,Yes,445.78
137,1,Double,Yes,479.99
138,1,Double,No,410.22
139,1,Single,Yes,63.30
140,1,Suite,Yes,77.18
141,1,Single,Yes,488.81
142,1,Single,Yes,446.58
143,1,Single,Yes,269.23
144,1,Suite,Yes,305.06
145,1,Suite,Yes,288.21
146,1,Single,Yes,420.01
147,1,Suite,Yes,242.42
148,1,Single,No,388.81
149,1,Double,Yes,170.31
150,1,Single,Yes,176.60
151,1,Suite,Yes,116.99
152,1,Double,No,54.94
153,1,Single,Yes,316.99
154,1,Single,Yes,381.28
155,1,Single,Yes,344.15
156,1,Suite,Yes,438.10
157,1,Double,No,147.00
158,1,Double,No,81.25
159,1,Suite,Yes,404.62
160,1,Single,Yes,487.10
161,1,Double,No,304.28
162,1,Suite,No,413.41
163,1,Suite,No,473.68
164,1,Double,No,319.35
165,1,Suite,Yes,134.57
166,1,Single,No,196.89
167,1,Suite,Yes,456.28
168,1,Suite,Yes,299.49
169,1,Double,No,205.04
170,1,Double,No,429.07
171,1,Double,Yes,104.93
172,1,Suite,No,186.58
173,1,Suite,Yes,319.62
174,1,Suite,No,150.39
175,1,Suite,No,235.43
176,1,Single,No,232.54
177,1,Single,No,309.82
178,1,Single,No,457.62
179,1,Suite,Yes,471.71
180,1,Single,Yes,329.80
181,1,Suite,Yes,310.91
182,1,Double,No,187.06
183,1,Single,Yes,74.53
184,1,Single,Yes,142.21
185,1,Suite,No,440.67
186,1,Single,No,434.13
187,1,Single,Yes,472.36
188,1,Single,No,163.27
189,1,Double,Yes,269.31
190,1,Double,Yes,73.95
191,1,Single,No,376.43
192,1,Single,Yes,404.99
193,1,Suite,Yes,324.60
194,1,Single,No,178.38
195,1,Suite,No,372.29
196,1,Double,No,221.58
197,1,Double,Yes,224.98
198,1,Single,No,108.53
199,1,Suite,No,70.75
200,1,Suite,Yes,97.53
201,1,Suite,No,193.29
202,1,Double,Yes,468.53
203,1,Single,No,264.09
204,1,Single,No,89.41
205,1,Single,No,120.61
206,1,Suite,Yes,130.07
207,1,Suite,No,376.43
208,1,Double,Yes,96.90
209,1,Double,Yes,491.58
210,1,Suite,Yes,372.96
211,1,Double,Yes,370.24
212,1,Double,Yes,384.72
213,1,Single,Yes,170.76
214,1,Single,Yes,381.41
215,1,Double,Yes,378.37
216,1,Suite,No,144.61
217,1,Double,No,330.74
218,1,Suite,No,205.46
219,1,Suite,Yes,451.45
220,1,Double,No,93.43
221,1,Suite,Yes,87.62
222,1,Single,Yes,337.43
223,1,Single,No,284.58
224,1,Double,No,109.52
225,1,Suite,Yes,167.09
226,1,Single,Yes,367.07
227,1,Suite,No,56.35
228,1,Double,No,323.08
229,1,Single,No,423.14
230,1,Double,No,70.73
231,1,Double,No,103.38
232,1,Double,Yes,464.33
233,1,Double,Yes,358.13
234,1,Double,No,396.78
235,1,Single,Yes,346.46
236,1,Double,Yes,378.81
237,1,Double,Yes,136.21
238,1,Single,No,413.08
239,1,Suite,No,322.81
240,1,Double,No,447.56
241,1,Single,Yes,137.44
